fiscal_year,agency_ic_code,agency_ic_name,n_projects,total_award_millions,cumulative_millions
2023,HG,National Human Genome Research Institute,3,4.06,12.82
2023,TW,John E. Fogarty International Center for Advanced Study in the Health Sciences,13,3.56,10.16
2023,EB,National Institute of Biomedical Imaging and Bioengineering,10,3.49,15.89
2023,AA,National Institute on Alcohol Abuse and Alcoholism,8,2.89,10.52
2023,ES,National Institute of Environmental Health Sciences,9,2.68,15.69
2023,DE,National Institute of Dental and Craniofacial Research,5,1.7,4.7
2023,OD,NIH Office of the Director,4,1.64,39.76
2023,NR,National Institute of Nursing Research,3,1.39,1.92
2023,MD,National Institute on Minority Health and Health Disparities,6,1.02,1.87
2023,DC,National Institute on Deafness and Other Communication Disorders,2,0.63,5.76
2023,AT,National Center for Complementary and Integrative Health,2,0.54,1.97
2023,LM,National Library of Medicine,2,0.39,1.14
